id,Location,Size_in_sq_ft,Price_in_USD,Year_Built
1,Rural,2827,494070,1974
2,Urban,3495,452228,1967
3,Rural,2295,531839,2015
4,Rural,1962,369536,2003
5,Urban,2322,417824,1984
6,Urban,3440,357426,2010
7,Rural,1191,277789,1990
8,Suburban,2498,613153,1982
9,Rural,1218,842452,2017
10,Rural,3136,937291,1982
11,Rural,1178,225657,1963
12,Rural,2596,335167,1970
13,Urban,3078,781669,1997
14,Rural,2888,580671,1969
15,Suburban,2982,819094,1957
16,Urban,1000,170467,1956
17,Suburban,2663,283734,2016
18,Suburban,1579,722794,1966
19,Suburban,1302,209751,1982
20,Suburban,3254,481050,1997
21,Urban,2551,911774,2008
22,Urban,1604,792517,1971
23,Suburban,2946,561079,1979
24,Suburban,2695,468452,1987
25,Urban,2370,206081,2000
26,Urban,1760,713333,2003
27,Urban,3460,658986,1957
28,Rural,2285,210078,1976
29,Rural,3490,967055,1976
30,Rural,1828,122671,1970
31,Suburban,1302,518400,1979
32,Rural,1197,455528,1977
33,Suburban,1670,710490,2013
34,Suburban,1192,151663,2018
35,Rural,1006,115708,2010
36,Suburban,1838,978338,1997
37,Rural,2681,411955,1968
38,Rural,2284,233883,1953
39,Urban,1663,418394,1984
40,Rural,1363,212547,2013
41,Urban,1820,659042,1998
42,Rural,895,851102,1966
43,Rural,2723,862002,1993
44,Urban,2557,242483,1979
45,Urban,3332,758271,1995
46,Rural,3078,314835,1955
47,Suburban,2478,501896,1986
48,Urban,1340,184896,1973
49,Suburban,1859,577095,1995
50,Suburban,3372,171295,2002
51,Suburban,1983,843974,2009
52,Urban,2522,987121,2012
53,Suburban,2619,373255,1981
54,Urban,3425,399648,1982
55,Suburban,3404,757162,2016
56,Rural,2397,108155,1967
57,Rural,3493,566872,1974
58,Urban,1595,925816,2003
59,Rural,1851,474705,2007
60,Rural,2443,671542,2016
61,Suburban,2163,908350,1995
62,Urban,2781,710269,1973
63,Suburban,2154,654594,1981
64,Suburban,2463,247718,1996
65,Suburban,2329,408987,1972
66,Suburban,2838,745263,2015
67,Suburban,2296,458745,1976
68,Suburban,3037,207512,1951
69,Suburban,2208,247443,1966
70,Urban,2200,570587,1982
71,Rural,2106,473616,1958
72,Suburban,3480,757409,1992
73,Suburban,3475,786976,1997
74,Suburban,1772,465871,1988
75,Suburban,2568,475037,1991
76,Suburban,2082,907364,1975
77,Suburban,1509,217796,1999
78,Rural,2279,391999,1974
79,Rural,2234,292506,1973
80,Suburban,1448,798376,1962
81,Rural,1117,369544,2009
82,Urban,2057,480002,1956
83,Suburban,1483,798002,2006
84,Urban,1463,639439,1985
85,Urban,2798,690978,1994
86,Suburban,2431,628787,1969
87,Rural,2295,630583,2014
88,Urban,1936,488215,1957
89,Suburban,2653,421184,1965
90,Urban,2320,898615,1963
91,Urban,3289,522515,1964
92,Urban,1363,768234,2015
93,Urban,2091,478480,1981
94,Rural,2436,132711,2012
95,Urban,1498,891971,2000
96,Urban,2960,601157,1974
97,Urban,801,284423,2007
98,Rural,1441,616349,2012
99,Urban,3067,803714,2011
100,Urban,2389,757917,1971
